id,name,acronym,allen_ccf_id,allen_ccf_id_path,color_hex_triplet
72,Primary somatosensory area lower limb layer 6b,SSp-ll6b,510,997/8/567/688/695/315/453/322/337/510/,188064
73,Primary somatosensory area mouth,SSp-m,345,997/8/567/688/695/315/453/322/345/,188064
74,Primary somatosensory area mouth layer 1,SSp-m1,878,997/8/567/688/695/315/453/322/345/878/,188064
75,Primary somatosensory area mouth layer 2/3,SSp-m2/3,657,997/8/567/688/695/315/453/322/345/657/,188064
76,Primary somatosensory area mouth layer 4,SSp-m4,950,997/8/567/688/695/315/453/322/345/950/,188064
77,Primary somatosensory area mouth layer 5,SSp-m5,974,997/8/567/688/695/315/453/322/345/974/,188064
78,Primary somatosensory area mouth layer 6a,SSp-m6a,1102,997/8/567/688/695/315/453/322/345/1102/,188064
79,Primary somatosensory area mouth layer 6b,SSp-m6b,2,997/8/567/688/695/315/453/322/345/2/,188064
80,Primary somatosensory area upper limb,SSp-ul,369,997/8/567/688/695/315/453/322/369/,188064
81,Primary somatosensory area upper limb layer 1,SSp-ul1,450,997/8/567/688/695/315/453/322/369/450/,188064
82,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3,854,997/8/567/688/695/315/453/322/369/854/,188064
83,Primary somatosensory area upper limb layer 4,SSp-ul4,577,997/8/567/688/695/315/453/322/369/577/,188064
84,Primary somatosensory area upper limb layer 5,SSp-ul5,625,997/8/567/688/695/315/453/322/369/625/,188064
85,Primary somatosensory area upper limb layer 6a,SSp-ul6a,945,997/8/567/688/695/315/453/322/369/945/,188064
86,Primary somatosensory area upper limb layer 6b,SSp-ul6b,1026,997/8/567/688/695/315/453/322/369/1026/,188064
87,Primary somatosensory area trunk,SSp-tr,361,997/8/567/688/695/315/453/322/361/,188064
88,Primary somatosensory area trunk layer 1,SSp-tr1,1006,997/8/567/688/695/315/453/322/361/1006/,188064
89,Primary somatosensory area trunk layer 2/3,SSp-tr2/3,670,997/8/567/688/695/315/453/322/361/670/,188064
90,Primary somatosensory area trunk layer 4,SSp-tr4,1086,997/8/567/688/695/315/453/322/361/1086/,188064
91,Primary somatosensory area trunk layer 5,SSp-tr5,1111,997/8/567/688/695/315/453/322/361/1111/,188064
92,Primary somatosensory area trunk layer 6a,SSp-tr6a,9,997/8/567/688/695/315/453/322/361/9/,188064
93,Primary somatosensory area trunk layer 6b,SSp-tr6b,461,997/8/567/688/695/315/453/322/361/461/,188064
94,Primary somatosensory area unassigned,SSp-un,182305689,997/8/567/688/695/315/453/322/182305689/,188064
95,Primary somatosensory area unassigned layer 1,SSp-un1,182305693,997/8/567/688/695/315/453/322/182305689/182305693/,188064
96,Primary somatosensory area unassigned layer 2/3,SSp-un2/3,182305697,997/8/567/688/695/315/453/322/182305689/182305697/,188064
97,Primary somatosensory area unassigned layer 4,SSp-un4,182305701,997/8/567/688/695/315/453/322/182305689/182305701/,188064
98,Primary somatosensory area unassigned layer 5,SSp-un5,182305705,997/8/567/688/695/315/453/322/182305689/182305705/,188064
99,Primary somatosensory area unassigned layer 6a,SSp-un6a,182305709,997/8/567/688/695/315/453/322/182305689/182305709/,188064
100,Primary somatosensory area unassigned layer 6b,SSp-un6b,182305713,997/8/567/688/695/315/453/322/182305689/182305713/,188064
101,Supplemental somatosensory area,SSs,378,997/8/567/688/695/315/453/378/,188064
102,Supplemental somatosensory area layer 1,SSs1,873,997/8/567/688/695/315/453/378/873/,188064
103,Supplemental somatosensory area layer 2/3,SSs2/3,806,997/8/567/688/695/315/453/378/806/,188064
104,Supplemental somatosensory area layer 4,SSs4,1035,997/8/567/688/695/315/453/378/1035/,188064
105,Supplemental somatosensory area layer 5,SSs5,1090,997/8/567/688/695/315/453/378/1090/,188064
106,Supplemental somatosensory area layer 6a,SSs6a,862,997/8/567/688/695/315/453/378/862/,188064
107,Supplemental somatosensory area layer 6b,SSs6b,893,997/8/567/688/695/315/453/378/893/,188064
108,Gustatory areas,GU,1057,997/8/567/688/695/315/1057/,009C75
109,Gustatory areas layer 1,GU1,36,997/8/567/688/695/315/1057/36/,009C75
110,Gustatory areas layer 2/3,GU2/3,180,997/8/567/688/695/315/1057/180/,009C75
111,Gustatory areas layer 4,GU4,148,997/8/567/688/695/315/1057/148/,009C75
112,Gustatory areas layer 5,GU5,187,997/8/567/688/695/315/1057/187/,009C75
113,Gustatory areas layer 6a,GU6a,638,997/8/567/688/695/315/1057/638/,009C75
114,Gustatory areas layer 6b,GU6b,662,997/8/567/688/695/315/1057/662/,009C75
115,Visceral area,VISC,677,997/8/567/688/695/315/677/,11AD83
116,Visceral area layer 1,VISC1,897,997/8/567/688/695/315/677/897/,11AD83
117,Visceral area layer 2/3,VISC2/3,1106,997/8/567/688/695/315/677/1106/,11AD83
118,Visceral area layer 4,VISC4,1010,997/8/567/688/695/315/677/1010/,11AD83
119,Visceral area layer 5,VISC5,1058,997/8/567/688/695/315/677/1058/,11AD83
120,Visceral area layer 6a,VISC6a,857,997/8/567/688/695/315/677/857/,11AD83
121,Visceral area layer 6b,VISC6b,849,997/8/567/688/695/315/677/849/,11AD83
122,Auditory areas,AUD,247,997/8/567/688/695/315/247/,19399
123,Dorsal auditory area,AUDd,1011,997/8/567/688/695/315/247/1011/,19399
124,Dorsal auditory area layer 1,AUDd1,527,997/8/567/688/695/315/247/1011/527/,19399
125,Dorsal auditory area layer 2/3,AUDd2/3,600,997/8/567/688/695/315/247/1011/600/,19399
126,Dorsal auditory area layer 4,AUDd4,678,997/8/567/688/695/315/247/1011/678/,19399
127,Dorsal auditory area layer 5,AUDd5,252,997/8/567/688/695/315/247/1011/252/,19399
128,Dorsal auditory area layer 6a,AUDd6a,156,997/8/567/688/695/315/247/1011/156/,19399
129,Dorsal auditory area layer 6b,AUDd6b,243,997/8/567/688/695/315/247/1011/243/,19399
130,Laterolateral anterior visual area,VISlla,480149230,997/8/567/688/695/315/247/1011/480149230/,19399
131,Laterolateral anterior visual area layer 1,VISlla1,480149234,997/8/567/688/695/315/247/1011/480149230/480149234/,19399
132,Laterolateral anterior visual area layer 2/3,VISlla2/3,480149238,997/8/567/688/695/315/247/1011/480149230/480149238/,19399
133,Laterolateral anterior visual area layer 4,VISlla4,480149242,997/8/567/688/695/315/247/1011/480149230/480149242/,19399
134,Laterolateral anterior visual arealayer 5,VISlla5,480149246,997/8/567/688/695/315/247/1011/480149230/480149246/,19399
135,Laterolateral anterior visual area layer 6a,VISlla6a,480149250,997/8/567/688/695/315/247/1011/480149230/480149250/,19399
136,Laterolateral anterior visual area layer 6b,VISlla6b,480149254,997/8/567/688/695/315/247/1011/480149230/480149254/,19399
137,Primary auditory area,AUDp,1002,997/8/567/688/695/315/247/1002/,19399
138,Primary auditory area layer 1,AUDp1,735,997/8/567/688/695/315/247/1002/735/,19399
139,Primary auditory area layer 2/3,AUDp2/3,251,997/8/567/688/695/315/247/1002/251/,19399
140,Primary auditory area layer 4,AUDp4,816,997/8/567/688/695/315/247/1002/816/,19399
141,Primary auditory area layer 5,AUDp5,847,997/8/567/688/695/315/247/1002/847/,19399
142,Primary auditory area layer 6a,AUDp6a,954,997/8/567/688/695/315/247/1002/954/,19399
143,Primary auditory area layer 6b,AUDp6b,1005,997/8/567/688/695/315/247/1002/1005/,19399
144,Posterior auditory area,AUDpo,1027,997/8/567/688/695/315/247/1027/,19399
145,Posterior auditory area layer 1,AUDpo1,696,997/8/567/688/695/315/247/1027/696/,19399
146,Posterior auditory area layer 2/3,AUDpo2/3,643,997/8/567/688/695/315/247/1027/643/,19399
147,Posterior auditory area layer 4,AUDpo4,759,997/8/567/688/695/315/247/1027/759/,19399
148,Posterior auditory area layer 5,AUDpo5,791,997/8/567/688/695/315/247/1027/791/,19399
149,Posterior auditory area layer 6a,AUDpo6a,249,997/8/567/688/695/315/247/1027/249/,19399
150,Posterior auditory area layer 6b,AUDpo6b,456,997/8/567/688/695/315/247/1027/456/,19399
151,Ventral auditory area,AUDv,1018,997/8/567/688/695/315/247/1018/,19399
152,Ventral auditory area layer 1,AUDv1,959,997/8/567/688/695/315/247/1018/959/,19399
153,Ventral auditory area layer 2/3,AUDv2/3,755,997/8/567/688/695/315/247/1018/755/,19399
154,Ventral auditory area layer 4,AUDv4,990,997/8/567/688/695/315/247/1018/990/,19399
155,Ventral auditory area layer 5,AUDv5,1023,997/8/567/688/695/315/247/1018/1023/,19399
156,Ventral auditory area layer 6a,AUDv6a,520,997/8/567/688/695/315/247/1018/520/,19399
157,Ventral auditory area layer 6b,AUDv6b,598,997/8/567/688/695/315/247/1018/598/,19399
158,Visual areas,VIS,669,997/8/567/688/695/315/669/,08858C
159,Visual areas layer 1,VIS1,801,997/8/567/688/695/315/669/801/,08858C
160,Visual areas layer 2/3,VIS2/3,561,997/8/567/688/695/315/669/561/,08858C
161,Visual areas layer 4,VIS4,913,997/8/567/688/695/315/669/913/,08858C
162,Visual areas layer 5,VIS5,937,997/8/567/688/695/315/669/937/,08858C
163,Visual areas layer 6a,VIS6a,457,997/8/567/688/695/315/669/457/,08858C
164,Visual areas layer 6b,VIS6b,497,997/8/567/688/695/315/669/497/,08858C
165,Anterolateral visual area,VISal,402,997/8/567/688/695/315/669/402/,08858C
166,Anterolateral visual area layer 1,VISal1,1074,997/8/567/688/695/315/669/402/1074/,08858C
167,Anterolateral visual area layer 2/3,VISal2/3,905,997/8/567/688/695/315/669/402/905/,08858C
168,Anterolateral visual area layer 4,VISal4,1114,997/8/567/688/695/315/669/402/1114/,08858C
169,Anterolateral visual area layer 5,VISal5,233,997/8/567/688/695/315/669/402/233/,08858C
170,Anterolateral visual area layer 6a,VISal6a,601,997/8/567/688/695/315/669/402/601/,08858C
171,Anterolateral visual area layer 6b,VISal6b,649,997/8/567/688/695/315/669/402/649/,08858C
172,Anteromedial visual area,VISam,394,997/8/567/688/695/315/669/394/,08858C
173,Anteromedial visual area layer 1,VISam1,281,997/8/567/688/695/315/669/394/281/,08858C
174,Anteromedial visual area layer 2/3,VISam2/3,1066,997/8/567/688/695/315/669/394/1066/,08858C
175,Anteromedial visual area layer 4,VISam4,401,997/8/567/688/695/315/669/394/401/,08858C
176,Anteromedial visual area layer 5,VISam5,433,997/8/567/688/695/315/669/394/433/,08858C
177,Anteromedial visual area layer 6a,VISam6a,1046,997/8/567/688/695/315/669/394/1046/,08858C
178,Anteromedial visual area layer 6b,VISam6b,441,997/8/567/688/695/315/669/394/441/,08858C
179,Lateral visual area,VISl,409,997/8/567/688/695/315/669/409/,08858C
180,Lateral visual area layer 1,VISl1,421,997/8/567/688/695/315/669/409/421/,08858C
181,Lateral visual area layer 2/3,VISl2/3,973,997/8/567/688/695/315/669/409/973/,08858C
182,Lateral visual area layer 4,VISl4,573,997/8/567/688/695/315/669/409/573/,08858C
183,Lateral visual area layer 5,VISl5,613,997/8/567/688/695/315/669/409/613/,08858C
184,Lateral visual area layer 6a,VISl6a,74,997/8/567/688/695/315/669/409/74/,08858C
185,Lateral visual area layer 6b,VISl6b,121,997/8/567/688/695/315/669/409/121/,08858C
186,Primary visual area,VISp,385,997/8/567/688/695/315/669/385/,08858C
187,Primary visual area layer 1,VISp1,593,997/8/567/688/695/315/669/385/593/,08858C
188,Primary visual area layer 2/3,VISp2/3,821,997/8/567/688/695/315/669/385/821/,08858C
189,Primary visual area layer 4,VISp4,721,997/8/567/688/695/315/669/385/721/,08858C
190,Primary visual area layer 5,VISp5,778,997/8/567/688/695/315/669/385/778/,08858C
191,Primary visual area layer 6a,VISp6a,33,997/8/567/688/695/315/669/385/33/,08858C
192,Primary visual area layer 6b,VISp6b,305,997/8/567/688/695/315/669/385/305/,08858C
193,Posterolateral visual area,VISpl,425,997/8/567/688/695/315/669/425/,08858C
194,Posterolateral visual area layer 1,VISpl1,750,997/8/567/688/695/315/669/425/750/,08858C
195,Posterolateral visual area layer 2/3,VISpl2/3,269,997/8/567/688/695/315/669/425/269/,08858C
196,Posterolateral visual area layer 4,VISpl4,869,997/8/567/688/695/315/669/425/869/,08858C
197,Posterolateral visual area layer 5,VISpl5,902,997/8/567/688/695/315/669/425/902/,08858C
198,Posterolateral visual area layer 6a,VISpl6a,377,997/8/567/688/695/315/669/425/377/,08858C
199,Posterolateral visual area layer 6b,VISpl6b,393,997/8/567/688/695/315/669/425/393/,08858C
200,posteromedial visual area,VISpm,533,997/8/567/688/695/315/669/533/,08858C
201,posteromedial visual area layer 1,VISpm1,805,997/8/567/688/695/315/669/533/805/,08858C
202,posteromedial visual area layer 2/3,VISpm2/3,41,997/8/567/688/695/315/669/533/41/,08858C
203,posteromedial visual area layer 4,VISpm4,501,997/8/567/688/695/315/669/533/501/,08858C
204,posteromedial visual area layer 5,VISpm5,565,997/8/567/688/695/315/669/533/565/,08858C
205,posteromedial visual area layer 6a,VISpm6a,257,997/8/567/688/695/315/669/533/257/,08858C
206,posteromedial visual area layer 6b,VISpm6b,469,997/8/567/688/695/315/669/533/469/,08858C
207,Laterointermediate area,VISli,312782574,997/8/567/688/695/315/669/312782574/,08858C
208,Laterointermediate area layer 1,VISli1,312782578,997/8/567/688/695/315/669/312782574/312782578/,08858C
209,Laterointermediate area layer 2/3,VISli2/3,312782582,997/8/567/688/695/315/669/312782574/312782582/,08858C
210,Laterointermediate area layer 4,VISli4,312782586,997/8/567/688/695/315/669/312782574/312782586/,08858C
211,Laterointermediate area layer 5,VISli5,312782590,997/8/567/688/695/315/669/312782574/312782590/,08858C
212,Laterointermediate area layer 6a,VISli6a,312782594,997/8/567/688/695/315/669/312782574/312782594/,08858C
213,Laterointermediate area layer 6b,VISli6b,312782598,997/8/567/688/695/315/669/312782574/312782598/,08858C
214,Postrhinal area,VISpor,312782628,997/8/567/688/695/315/669/312782628/,08858C
215,Postrhinal area layer 1,VISpor1,312782632,997/8/567/688/695/315/669/312782628/312782632/,08858C
216,Postrhinal area layer 2/3,VISpor2/3,312782636,997/8/567/688/695/315/669/312782628/312782636/,08858C
217,Postrhinal area layer 4,VISpor4,312782640,997/8/567/688/695/315/669/312782628/312782640/,08858C
218,Postrhinal area layer 5,VISpor5,312782644,997/8/567/688/695/315/669/312782628/312782644/,08858C
219,Postrhinal area layer 6a,VISpor6a,312782648,997/8/567/688/695/315/669/312782628/312782648/,08858C
220,Postrhinal area layer 6b,VISpor6b,312782652,997/8/567/688/695/315/669/312782628/312782652/,08858C
221,Anterior cingulate area,ACA,31,997/8/567/688/695/315/31/,40A666
222,Anterior cingulate area layer 1,ACA1,572,997/8/567/688/695/315/31/572/,40A666
223,Anterior cingulate area layer 2/3,ACA2/3,1053,997/8/567/688/695/315/31/1053/,40A666
224,Anterior cingulate area layer 5,ACA5,739,997/8/567/688/695/315/31/739/,40A666
225,Anterior cingulate area layer 6a,ACA6a,179,997/8/567/688/695/315/31/179/,40A666
226,Anterior cingulate area layer 6b,ACA6b,227,997/8/567/688/695/315/31/227/,40A666
227,Anterior cingulate area dorsal part,ACAd,39,997/8/567/688/695/315/31/39/,40A666
228,Anterior cingulate area dorsal part layer 1,ACAd1,935,997/8/567/688/695/315/31/39/935/,40A666
229,Anterior cingulate area dorsal part layer 2/3,ACAd2/3,211,997/8/567/688/695/315/31/39/211/,40A666
230,Anterior cingulate area dorsal part layer 5,ACAd5,1015,997/8/567/688/695/315/31/39/1015/,40A666
231,Anterior cingulate area dorsal part layer 6a,ACAd6a,919,997/8/567/688/695/315/31/39/919/,40A666
232,Anterior cingulate area dorsal part layer 6b,ACAd6b,927,997/8/567/688/695/315/31/39/927/,40A666
233,Anterior cingulate area ventral part,ACAv,48,997/8/567/688/695/315/31/48/,40A666
234,Anterior cingulate area ventral part layer 1,ACAv1,588,997/8/567/688/695/315/31/48/588/,40A666
235,Anterior cingulate area ventral part layer 2/3,ACAv2/3,296,997/8/567/688/695/315/31/48/296/,40A666
236,Anterior cingulate area ventral part layer 5,ACAv5,772,997/8/567/688/695/315/31/48/772/,40A666
237,Anterior cingulate area ventral part 6a,ACAv6a,810,997/8/567/688/695/315/31/48/810/,40A666
238,Anterior cingulate area ventral part 6b,ACAv6b,819,997/8/567/688/695/315/31/48/819/,40A666
239,Prelimbic area,PL,972,997/8/567/688/695/315/972/,2FA850
240,Prelimbic area layer 1,PL1,171,997/8/567/688/695/315/972/171/,2FA850
241,Prelimbic area layer 2,PL2,195,997/8/567/688/695/315/972/195/,2FA850
242,Prelimbic area layer 2/3,PL2/3,304,997/8/567/688/695/315/972/304/,2FA850
243,Prelimbic area layer 5,PL5,363,997/8/567/688/695/315/972/363/,2FA850
244,Prelimbic area layer 6a,PL6a,84,997/8/567/688/695/315/972/84/,2FA850
245,Prelimbic area layer 6b,PL6b,132,997/8/567/688/695/315/972/132/,2FA850
246,Infralimbic area,ILA,44,997/8/567/688/695/315/44/,59B363
247,Infralimbic area layer 1,ILA1,707,997/8/567/688/695/315/44/707/,59B363
248,Infralimbic area layer 2,ILA2,747,997/8/567/688/695/315/44/747/,59B363
249,Infralimbic area layer 2/3,ILA2/3,556,997/8/567/688/695/315/44/556/,59B363
250,Infralimbic area layer 5,ILA5,827,997/8/567/688/695/315/44/827/,59B363
251,Infralimbic area layer 6a,ILA6a,1054,997/8/567/688/695/315/44/1054/,59B363
252,Infralimbic area layer 6b,ILA6b,1081,997/8/567/688/695/315/44/1081/,59B363
253,Orbital area,ORB,714,997/8/567/688/695/315/714/,248A5E
254,Orbital area layer 1,ORB1,264,997/8/567/688/695/315/714/264/,248A5E
255,Orbital area layer 2/3,ORB2/3,492,997/8/567/688/695/315/714/492/,248A5E
256,Orbital area layer 5,ORB5,352,997/8/567/688/695/315/714/352/,248A5E
257,Orbital area layer 6a,ORB6a,476,997/8/567/688/695/315/714/476/,248A5E
258,Orbital area layer 6b,ORB6b,516,997/8/567/688/695/315/714/516/,248A5E
259,Orbital area lateral part,ORBl,723,997/8/567/688/695/315/714/723/,248A5E
260,Orbital area lateral part layer 1,ORBl1,448,997/8/567/688/695/315/714/723/448/,248A5E
261,Orbital area lateral part layer 2/3,ORBl2/3,412,997/8/567/688/695/315/714/723/412/,248A5E
262,Orbital area lateral part layer 5,ORBl5,630,997/8/567/688/695/315/714/723/630/,248A5E
263,Orbital area lateral part layer 6a,ORBl6a,440,997/8/567/688/695/315/714/723/440/,248A5E
264,Orbital area lateral part layer 6b,ORBl6b,488,997/8/567/688/695/315/714/723/488/,248A5E
265,Orbital area medial part,ORBm,731,997/8/567/688/695/315/714/731/,248A5E
266,Orbital area medial part layer 1,ORBm1,484,997/8/567/688/695/315/714/731/484/,248A5E
267,Orbital area medial part layer 2,ORBm2,524,997/8/567/688/695/315/714/731/524/,248A5E
268,Orbital area medial part layer 2/3,ORBm2/3,582,997/8/567/688/695/315/714/731/582/,248A5E
269,Orbital area medial part layer 5,ORBm5,620,997/8/567/688/695/315/714/731/620/,248A5E
270,Orbital area medial part layer 6a,ORBm6a,910,997/8/567/688/695/315/714/731/910/,248A5E
271,Orbital area medial part layer 6b,ORBm6b,527696977,997/8/567/688/695/315/714/731/527696977/,248A5E
272,Orbital area ventral part,ORBv,738,997/8/567/688/695/315/714/738/,248A5E
273,Orbital area ventrolateral part,ORBvl,746,997/8/567/688/695/315/714/746/,248A5E
274,Orbital area ventrolateral part layer 1,ORBvl1,969,997/8/567/688/695/315/714/746/969/,248A5E
275,Orbital area ventrolateral part layer 2/3,ORBvl2/3,288,997/8/567/688/695/315/714/746/288/,248A5E
276,Orbital area ventrolateral part layer 5,ORBvl5,1125,997/8/567/688/695/315/714/746/1125/,248A5E
277,Orbital area ventrolateral part layer 6a,ORBvl6a,608,997/8/567/688/695/315/714/746/608/,248A5E
278,Orbital area ventrolateral part layer 6b,ORBvl6b,680,997/8/567/688/695/315/714/746/680/,248A5E
279,Agranular insular area,AI,95,997/8/567/688/695/315/95/,219866
280,Agranular insular area dorsal part,AId,104,997/8/567/688/695/315/95/104/,219866
281,Agranular insular area dorsal part layer 1,AId1,996,997/8/567/688/695/315/95/104/996/,219866
282,Agranular insular area dorsal part layer 2/3,AId2/3,328,997/8/567/688/695/315/95/104/328/,219866
283,Agranular insular area dorsal part layer 5,AId5,1101,997/8/567/688/695/315/95/104/1101/,219866
284,Agranular insular area dorsal part layer 6a,AId6a,783,997/8/567/688/695/315/95/104/783/,219866
285,Agranular insular area dorsal part layer 6b,AId6b,831,997/8/567/688/695/315/95/104/831/,219866
286,Agranular insular area posterior part,AIp,111,997/8/567/688/695/315/95/111/,219866
287,Agranular insular area posterior part layer 1,AIp1,120,997/8/567/688/695/315/95/111/120/,219866
288,Agranular insular area posterior part layer 2/3,AIp2/3,163,997/8/567/688/695/315/95/111/163/,219866
289,Agranular insular area posterior part layer 5,AIp5,344,997/8/567/688/695/315/95/111/344/,219866
290,Agranular insular area posterior part layer 6a,AIp6a,314,997/8/567/688/695/315/95/111/314/,219866
291,Agranular insular area posterior part layer 6b,AIp6b,355,997/8/567/688/695/315/95/111/355/,219866
